"h3id","day","month","year","counta","max_length","mean_speed","median_level","bool_highway","bool_ramps","count_highway","count_streets","count_primary","count_secondary","count_primary_street","count_primary_ramps"
"89c2f1564a7ffff","15","4","2019","12","527","2.6689814814814814","3","0","0","0","4","0","0","8","0"
"89c2f1192bbffff","1","4","2019","14","646","2.407142857142857","2","0","0","0","10","0","0","4","0"
"89c2f15690bffff","11","4","2019","8","1471","2.5927083333333334","3","0","0","0","0","0","0","8","0"
"89c2f1192d3ffff","11","4","2019","5","547","2.6783333333333337","3","0","0","0","0","0","0","5","0"
"89c2f1564a7ffff","1","4","2019","34","562","2.982598039215686","2","0","0","0","21","0","0","13","0"
"89c2f154433ffff","10","4","2019","603","209","0.0","5","0","0","0","603","0","0","0","0"
"89c2f1cc867ffff","1","4","2019","232","1112","3.058931992337166","3","0","0","0","109","0","0","123","0"
"89c2f1562d3ffff","29","4","2019","64","688","2.571875","3","0","0","0","61","0","0","3","0"
"89c2f1562d3ffff","10","4","2019","107","1055","1.8531671858774652","3","0","0","0","95","0","0","12","0"
"89c2f154483ffff","16","4","2019","2","1589","4.472222222222222","2","0","0","0","0","0","0","2","0"
"89c2f119267ffff","14","4","2019","98","1048","3.622363945578232","2","0","0","0","36","0","0","62","0"
"89c2f1cc867ffff","20","4","2019","114","1036","3.1753898635477587","2","0","0","0","8","0","0","106","0"
"89c2f1192bbffff","3","4","2019","614","646","0.05473669923995657","5","0","0","0","611","0","0","3","0"
"89c2f11923bffff","26","4","2019","8","334","2.01875","4","0","0","0","0","0","0","8","0"
"89c2f1ccb77ffff","3","4","2019","13","2198","3.908547008547009","2","0","0","0","4","0","0","9","0"
"89c2f1564a7ffff","12","4","2019","2235","640","0.0826199353716132","5","0","0","0","2168","0","0","67","0"
"89c2f1cc867ffff","13","4","2019","155","1166","3.2084767025089613","3","0","0","0","43","0","0","112","0"
"89c2f1564b7ffff","4","4","2019","22","677","2.7362373737373744","3","0","0","0","22","0","0","0","0"
"89c2f1562d3ffff","27","4","2019","30","1000","2.718425925925927","3","0","0","0","22","0","0","8","0"
"89c2f1564b7ffff","14","4","2019","1263","108","0.0","5","0","0","0","1263","0","0","0","0"
"89c2f1562d3ffff","12","4","2019","101","1551","2.1966446644664472","2","0","0","0","92","0","0","9","0"
"89c2f1564b7ffff","16","4","2019","4","408","2.248611111111111","3","0","0","0","4","0","0","0","0"
"89c2f1192bbffff","29","4","2019","45","930","2.1156790123456783","3","0","0","0","0","0","0","45","0"
"89c2f1ccb77ffff","25","4","2019","15","345","1.872962962962963","4","0","0","0","0","0","0","15","0"
"89c2f1ccbabffff","17","4","2019","10","306","2.322222222222222","3","0","0","0","10","0","0","0","0"
"89c2f15652bffff","3","4","2019","10","207","1.5174999999999998","4","0","0","0","10","0","0","0","0"
"89c2f1192d3ffff","21","4","2019","10","183","1.3675000000000002","3","0","0","0","10","0","0","0","0"
"89c2f1564a7ffff","5","4","2019","37","956","2.264714714714715","3","0","0","0","20","0","0","17","0"
"89c2f1cc867ffff","15","4","2019","96","1061","3.090364583333333","3","0","0","0","8","0","0","88","0"
"89c2f1192d3ffff","25","4","2019","30","875","2.172592592592593","4","0","0","0","2","0","0","28","0"
"89c2f154483ffff","11","4","2019","1","612","4.111111111111111","2","0","0","0","0","0","0","1","0"
"89c2f1564bbffff","25","4","2019","23","599","2.5857487922705316","2","0","0","0","23","0","0","0","0"
