"h3id","day","month","year","counta","max_length","mean_speed","median_level","bool_highway","bool_ramps","count_highway","count_streets","count_primary","count_secondary","count_primary_street","count_primary_ramps"
"8966d338857ffff","16","4","2019","251","1162","1.876892430278884","4","0","0","0","247","0","0","4","0"
"8966d32a4b3ffff","25","4","2019","297","1399","2.4495136550692087","3","0","0","0","0","0","0","297","0"
"8966d338b5bffff","17","4","2019","2","828","2.9805555555555556","3","0","0","0","0","0","0","2","0"
"8966d33a8cfffff","20","4","2019","32","859","3.1306423611111107","3","0","0","0","0","0","0","32","0"
"8966d33ae3bffff","12","4","2019","71","810","2.3413536776212838","4","0","0","0","0","0","0","71","0"
"8966d33ae3bffff","4","4","2019","37","761","3.2256006006006004","3","0","0","0","2","0","0","35","0"
"8966d33ab57ffff","28","4","2019","4","612","2.6930555555555555","3","0","0","0","2","0","0","2","0"
"8966d33ae3bffff","9","4","2019","30","574","2.1","4","0","0","0","0","0","0","30","0"
"8966d331097ffff","5","4","2019","14","1690","5.040079365079365","2","0","0","0","0","0","0","14","0"
"8966d321307ffff","13","4","2019","10","187","1.2575000000000003","4","0","0","0","10","0","0","0","0"
"8966d32a4b3ffff","15","4","2019","191","1350","2.643164630599184","3","0","0","0","2","0","0","189","0"
"8966d32116fffff","22","4","2019","7","493","3.2654761904761904","3","0","0","0","0","0","7","0","0"
"8966d32a4b3ffff","5","4","2019","316","1467","2.7688027426160327","3","0","0","0","0","0","0","316","0"
"8966d33ab57ffff","4","4","2019","206","769","2.7803937432578216","4","0","0","0","4","0","0","202","0"
"8966d331097ffff","22","4","2019","9","835","4.880864197530864","2","0","0","0","0","0","0","9","0"
"8966d331043ffff","26","4","2019","8","303","1.3743055555555554","4","0","0","0","0","0","0","8","0"
"8966d33a1d3ffff","28","4","2019","10","507","2.311944444444445","3","0","0","0","10","0","0","0","0"
"8966d33aa37ffff","7","4","2019","24","635","2.2329861111111113","4","0","0","0","1","0","0","23","0"
"8966d338967ffff","15","4","2019","17","8146","4.079248366013071","4","1","0","17","0","0","0","0","0"
"8966d338ea7ffff","9","4","2019","20","570","0.77125","4","0","0","0","0","0","0","20","0"
"8966d33ae3bffff","24","4","2019","54","757","2.5979423868312757","3","0","0","0","4","0","0","50","0"
"8966d33ae3bffff","29","4","2019","63","840","2.6636684303350986","3","0","0","0","0","0","0","63","0"
"8966d331043ffff","12","4","2019","10","575","3.5427777777777782","2","0","0","0","0","0","0","10","0"
"8966d338ea7ffff","23","4","2019","24","570","0.618287037037037","4","0","0","0","4","0","0","20","0"
"8966d338c67ffff","5","4","2019","422","1569","1.8147380200105343","3","0","0","0","245","0","0","177","0"
"8966d338857ffff","22","4","2019","185","1162","2.5130180180180144","4","0","0","0","185","0","0","0","0"
"8966d331043ffff","21","4","2019","3","330","2.1750000000000003","4","0","0","0","0","0","0","3","0"
"8966d33a1d3ffff","21","4","2019","11","413","2.2896464646464643","3","0","0","0","11","0","0","0","0"
"8966d33a94bffff","17","4","2019","11","460","3.5472222222222225","3","0","0","0","11","0","0","0","0"
"8966d33a8cfffff","4","4","2019","326","1301","2.7097563053851395","3","0","0","0","0","0","0","326","0"
"8966d33a813ffff","25","4","2019","137","570","3.1173560421735576","3","0","0","0","11","0","0","126","0"
"8966d33a02bffff","3","4","2019","20","408","1.909444444444444","4","0","0","0","16","0","0","4","0"
"8966d338c73ffff","13","4","2019","167","414","1.4460911510312713","4","0","0","0","70","0","0","97","0"
"8966d33a1d3ffff","18","4","2019","129","844","1.6225667527993117","3","0","0","0","129","0","0","0","0"
"8966d33a1d3ffff","25","4","2019","87","583","2.1464240102171144","3","0","0","0","87","0","0","0","0"
"8966d338ab3ffff","10","4","2019","2578","556","0.20883975519351772","5","0","0","0","238","0","0","2340","0"
"8966d33aa37ffff","17","4","2019","148","1295","3.3251689189189206","3","0","0","0","23","0","0","125","0"
"8966d32a547ffff","27","4","2019","6","602","3.437962962962963","3","0","0","0","6","0","0","0","0"
"8966d32137bffff","22","4","2019","2","935","4.541666666666667","3","0","0","0","0","0","0","2","0"
"8966d338ba3ffff","22","4","2019","26","3554","7.380021367521366","2","1","0","26","0","0","0","0","0"
"8966d33ab57ffff","16","4","2019","357","1496","2.3805322128851505","4","0","0","0","0","0","0","357","0"
"8966d338857ffff","2","4","2019","262","1162","2.225911789652247","4","0","0","0","255","0","0","7","0"
"8966d32116fffff","5","4","2019","25","554","1.9597777777777776","4","0","0","0","0","0","25","0","0"
"8966d331097ffff","15","4","2019","4","1032","5.923611111111112","2","0","0","0","0","0","0","4","0"
"8966d33ab97ffff","4","4","2019","15","402","2.1757407407407405","3","0","0","0","15","0","0","0","0"
"8966d33a02bffff","15","4","2019","2","221","1.261111111111111","4","0","0","0","0","0","0","2","0"
"8966d33ab97ffff","15","4","2019","3","185","0.32222222222222224","3","0","0","0","3","0","0","0","0"
"8966d321353ffff","18","4","2019","25","475","1.816777777777778","4","0","0","0","0","0","0","25","0"
"8966d331043ffff","19","4","2019","3","330","2.339814814814815","3","0","0","0","0","0","0","3","0"
"8966d338c73ffff","29","4","2019","141","1118","1.5190701339637513","4","0","0","0","44","0","0","97","0"
"8966d321353ffff","8","4","2019","12","1346","4.190277777777778","2","0","0","0","0","0","0","12","0"
"8966d33ae3bffff","25","4","2019","89","713","2.283333333333334","3","0","0","0","0","0","0","89","0"
"8966d338c73ffff","10","4","2019","137","432","1.60117599351176","4","0","0","0","60","0","0","77","0"
"8966d33ab57ffff","30","4","2019","364","1813","2.6619658119658114","4","0","0","0","2","0","0","362","0"
"8966d33a94bffff","20","4","2019","2","589","4.125","3","0","0","0","2","0","0","0","0"
"8966d33aa37ffff","26","4","2019","75","795","2.530555555555557","3","0","0","0","19","0","0","56","0"
"8966d33a813ffff","9","4","2019","147","1015","2.7887944066515487","3","0","0","0","32","0","0","115","0"
"8966d33ab57ffff","12","4","2019","217","829","2.685522273425499","4","0","0","0","12","0","0","205","0"
