"h3id","day","month","year","counta","max_length","mean_speed","median_level","bool_highway","bool_ramps","count_highway","count_streets","count_primary","count_secondary","count_primary_street","count_primary_ramps"
"89a8100cc57ffff","4","4","2019","117","829","2.234188034188034","2","0","0","0","63","0","0","54","0"
"89a8100c077ffff","1","4","2019","303","421","1.387376237623761","4","0","0","0","10","0","0","293","0"
"89a81071513ffff","12","4","2019","225","856","2.2259506172839525","3","0","0","0","67","0","0","158","0"
"89a8100e54bffff","7","4","2019","18","1639","3.731481481481482","2","0","0","0","8","0","10","0","0"
"89a8100ddd3ffff","13","4","2019","305","401","1.227131147540984","4","0","0","0","305","0","0","0","0"
"89a8103b02fffff","8","4","2019","14","725","3.6210317460317465","2","0","0","0","14","0","0","0","0"
"89a81000cabffff","13","4","2019","85","527","2.5029738562091497","2","0","0","0","85","0","0","0","0"
"89a81000177ffff","13","4","2019","15","423","1.799074074074074","2","0","0","0","15","0","0","0","0"
"89a8100e8dbffff","14","4","2019","10","359","2.388611111111111","3","0","0","0","0","0","0","10","0"
"89a8100e397ffff","4","4","2019","281","2286","3.2433372874654016","3","0","0","0","0","0","0","281","0"
"89a8100c1abffff","15","4","2019","342","660","2.0822287199480187","3","0","0","0","31","0","0","311","0"
"89a8100e8dbffff","5","4","2019","429","1321","2.0561124061124056","3","0","0","0","192","0","0","237","0"
"89a8103b187ffff","28","4","2019","15","184","1.1161111111111113","3","0","0","0","15","0","0","0","0"
"89a8103b2a7ffff","18","4","2019","410","620","2.7265921409214107","3","1","0","26","0","0","0","384","0"
"89a8100ee37ffff","8","4","2019","572","1467","1.8277826340326335","3","0","0","0","75","0","0","497","0"
"89a8100c14bffff","8","4","2019","568","314","1.5048073161189375","3","0","0","0","372","0","0","196","0"
"89a8100c507ffff","20","4","2019","21","411","1.9178571428571425","3","0","0","0","2","0","0","19","0"
"89a8100c1abffff","1","4","2019","333","585","2.2548131464798122","2","0","0","0","66","0","0","267","0"
"89a8100ec67ffff","10","4","2019","327","2391","1.5271831464492016","4","0","0","0","193","0","0","134","0"
"89a8100c14bffff","18","4","2019","548","314","1.5291666666666655","3","0","0","0","418","0","0","130","0"
"89a8100ee37ffff","21","4","2019","18","203","1.2600308641975309","4","0","0","0","18","0","0","0","0"
"89a8100c1abffff","13","4","2019","239","660","1.9834844258484425","3","0","0","0","42","0","0","197","0"
"89a8100ee37ffff","24","4","2019","144","1151","2.671334876543211","3","0","0","0","0","0","0","144","0"
"89a8100c507ffff","6","4","2019","143","695","2.094716394716395","3","0","0","0","0","0","0","143","0"
"89a8100e0bbffff","22","4","2019","110","319","1.4423989898989895","3","0","0","0","25","0","0","85","0"
"89a8100ead3ffff","28","4","2019","33","600","2.2256734006734007","3","0","0","0","3","0","0","30","0"
"89a8100cc83ffff","6","4","2019","26","1264","2.2414529914529915","2","0","0","0","4","0","0","22","0"
"89a81071083ffff","13","4","2019","299","871","1.9705221107395032","3","0","0","0","0","0","0","299","0"
"89a8103824fffff","8","4","2019","29","796","3.8455938697318","2","0","0","0","29","0","0","0","0"
"89a8100eb83ffff","6","4","2019","51","439","1.7576252723311538","3","0","0","0","51","0","0","0","0"
"89a8100c077ffff","8","4","2019","396","421","1.3692410213243558","4","0","0","0","7","0","0","389","0"
"89a8100c58bffff","26","4","2019","339","694","2.869444444444447","3","0","0","0","26","0","0","313","0"
"89a8100c3afffff","12","4","2019","467","954","1.3795205805377107","3","0","0","0","142","0","0","325","0"
"89a81000ea7ffff","1","4","2019","58","517","2.2920977011494243","3","0","0","0","58","0","0","0","0"
"89a8100ee37ffff","3","4","2019","169","1377","2.638379355687048","3","0","0","0","13","0","0","156","0"
"89a8100c14bffff","3","4","2019","669","314","1.4509882079388807","3","0","0","0","445","0","0","224","0"
"89a8100c3d3ffff","6","4","2019","74","482","2.137612612612612","3","0","0","0","7","0","0","67","0"
"89a8100e54bffff","14","4","2019","6","856","2.437962962962963","2","0","0","0","5","0","1","0","0"
"89a81000ea7ffff","13","4","2019","84","496","2.27579365079365","2","0","0","0","84","0","0","0","0"
"89a8103b02fffff","27","4","2019","27","363","2.1435185185185195","3","0","0","0","27","0","0","0","0"
"89a8100ec67ffff","22","4","2019","17","693","1.6202614379084967","4","0","0","0","0","0","0","17","0"
"89a8103b02fffff","13","4","2019","1","271","2.136111111111111","3","0","0","0","1","0","0","0","0"
"89a81071513ffff","18","4","2019","260","802","2.7386324786324807","3","0","0","0","67","0","0","193","0"
"89a8100c5d7ffff","8","4","2019","402","821","1.885399391929242","3","0","0","0","322","0","0","80","0"
"89a8100e957ffff","30","4","2019","513","1114","1.515545808966862","4","0","0","0","108","0","0","405","0"
"89a8100e8dbffff","25","4","2019","315","1402","2.520529100529099","3","0","0","0","78","0","0","237","0"
"89a8100c58bffff","13","4","2019","275","601","2.874707070707069","3","0","0","0","0","0","0","275","0"
"89a8100c18bffff","19","4","2019","2","362","1.9861111111111112","3","0","0","0","2","0","0","0","0"
"89a8100ec67ffff","11","4","2019","288","4690","1.9520158179012357","3","0","0","0","120","4","0","164","0"
"89a8100e96fffff","6","4","2019","3","264","1.8703703703703705","3","0","0","0","0","0","0","3","0"
"89a8100c177ffff","3","4","2019","25","315","1.1571111111111108","3","0","0","0","22","0","0","3","0"
"89a81000177ffff","18","4","2019","9","366","1.0138888888888888","3","0","0","0","9","0","0","0","0"
"89a81071513ffff","7","4","2019","50","654","3.3391111111111105","3","0","0","0","2","0","0","48","0"
"89a8100e8dbffff","23","4","2019","112","1378","2.4271081349206356","3","0","0","0","24","0","0","88","0"
"89a8100c5d7ffff","23","4","2019","72","821","2.7580632716049407","2","0","0","0","65","0","0","7","0"
"89a8100e54bffff","29","4","2019","589","1051","2.6376532729673636","3","0","0","0","0","0","0","589","0"
"89a81071083ffff","6","4","2019","491","393","1.570049785019235","3","0","0","0","20","0","0","471","0"
"89a8100c32fffff","1","4","2019","161","529","1.0856452726017944","4","0","0","0","10","0","0","151","0"
"89a8100e8dbffff","11","4","2019","499","1321","1.89033622801158","4","0","0","0","298","0","0","201","0"
"89a8100c3d3ffff","17","4","2019","208","423","2.2971153846153847","3","0","0","0","16","0","0","192","0"
"89a8100ec67ffff","9","4","2019","343","2480","1.7384434726271478","4","0","0","0","138","6","0","199","0"
"89a81000cabffff","12","4","2019","104","1055","1.7985042735042733","3","0","0","0","37","0","0","67","0"
"89a8100ee37ffff","4","4","2019","172","1489","2.9522932816537466","3","0","0","0","2","0","0","170","0"
"89a8100c18bffff","16","4","2019","107","397","1.3013499480789206","3","0","0","0","107","0","0","0","0"
"89a8100cc83ffff","26","4","2019","190","922","2.6244298245614046","2","0","0","0","147","0","0","43","0"
"89a8100e517ffff","29","4","2019","322","2518","1.9182625948930314","4","0","0","0","72","0","0","250","0"
"89a8100c507ffff","7","4","2019","440","666","1.3177714646464656","3","0","0","0","32","0","0","408","0"
