"h3id","day","month","year","counta","max_length","mean_speed","median_level","bool_highway","bool_ramps","count_highway","count_streets","count_primary","count_secondary","count_primary_street","count_primary_ramps"
"89499604b1bffff","16","4","2019","35","1103","3.1446031746031746","3","0","0","0","0","0","35","0","0"
"89499604bc3ffff","22","4","2019","6","330","2.2129629629629632","4","0","0","0","0","0","6","0","0"
"8949963a4b3ffff","8","4","2019","17","748","3.794771241830066","2","0","0","0","0","0","17","0","0"
"89499604b4fffff","8","4","2019","48","653","2.8112847222222217","3","0","0","0","0","0","48","0","0"
"89499604b4fffff","14","4","2019","15","409","3.3731481481481485","3","0","0","0","0","0","15","0","0"
"8949963a5c7ffff","11","4","2019","4","585","3.313888888888889","2","0","0","0","0","0","0","4","0"
"89499604b53ffff","26","4","2019","5","1799","7.970000000000001","2","0","0","0","0","5","0","0","0"
"8949963a5d3ffff","12","4","2019","2","847","2.361111111111111","3","0","0","0","0","0","0","2","0"
"89499604b43ffff","2","4","2019","30","579","4.1594444444444445","2","0","0","0","0","0","30","0","0"
"8949963a6abffff","28","4","2019","56","511","3.1986607142857144","1","0","0","0","56","0","0","0","0"
"89499604b4fffff","23","4","2019","14","464","3.266666666666666","3","0","0","0","0","0","14","0","0"
"8949963a6abffff","17","4","2019","8","281","1.4548611111111112","2","0","0","0","0","0","0","8","0"
"89499604b47ffff","15","4","2019","118","1996","6.164901129943505","3","0","0","0","0","88","30","0","0"
"89499604b1bffff","11","4","2019","138","1103","2.3239130434782616","4","0","0","0","0","0","138","0","0"
"89499604b57ffff","4","4","2019","129","937","3.637144702842379","3","0","0","0","0","7","122","0","0"
"89499604b57ffff","2","4","2019","30","824","4.82611111111111","3","0","0","0","0","0","30","0","0"
"8949963a4b3ffff","9","4","2019","63","790","3.0182539682539646","3","0","0","0","0","0","63","0","0"
"8949963a6abffff","24","4","2019","16","511","2.5722222222222224","2","0","0","0","16","0","0","0","0"
"89499604b43ffff","17","4","2019","45","844","4.384506172839506","2","0","0","0","0","0","45","0","0"
"89499604b1bffff","26","4","2019","58","1332","3.55081417624521","3","0","0","0","0","0","58","0","0"
"8949963a5d3ffff","4","4","2019","2","281","1.2694444444444444","4","0","0","0","0","0","0","2","0"
"8949963a6abffff","11","4","2019","14","511","2.0027777777777773","3","0","0","0","14","0","0","0","0"
"89499604a6bffff","30","4","2019","10","1001","3.3511111111111105","2","0","0","0","0","0","10","0","0"
"89499604b43ffff","13","4","2019","43","844","4.618281653746771","2","0","0","0","0","0","43","0","0"
"89499604a6bffff","11","4","2019","2","819","2.4611111111111112","2","0","0","0","0","0","2","0","0"
"89499604b4fffff","2","4","2019","57","653","3.507212475633529","2","0","0","0","0","0","57","0","0"
"89499604b43ffff","29","4","2019","35","579","3.044365079365081","3","0","0","0","6","0","29","0","0"
"89499604b53ffff","29","4","2019","3","171","0.9657407407407407","4","0","0","0","0","0","3","0","0"
"8949963a4b3ffff","11","4","2019","15","748","2.5444444444444443","3","0","0","0","0","0","15","0","0"
"89499604b43ffff","10","4","2019","57","691","3.253752436647174","3","0","0","0","0","0","57","0","0"
"8949963a6abffff","7","4","2019","60","511","1.9731481481481494","3","0","0","0","60","0","0","0","0"
"89499604b1bffff","2","4","2019","13","277","2.0591880341880344","4","0","0","0","0","0","13","0","0"
"89499604b1bffff","4","4","2019","54","527","1.351286008230453","4","0","0","0","0","0","53","1","0"
"894996059afffff","4","4","2019","12","377","2.5805555555555557","2","0","0","0","0","0","12","0","0"
"89499604a2fffff","30","4","2019","2","1472","5.088888888888889","3","0","0","0","0","2","0","0","0"
"89499604b4fffff","5","4","2019","56","464","2.197668650793651","3","0","0","0","0","0","56","0","0"
"89499604b47ffff","30","4","2019","144","1996","3.782658179012345","3","0","0","0","60","61","16","7","0"
"89499604b4fffff","17","4","2019","17","464","3.3138888888888896","3","0","0","0","0","0","17","0","0"
"89499604b47ffff","29","4","2019","69","1996","4.118478260869563","3","0","0","0","42","25","2","0","0"
"89499604b1bffff","9","4","2019","35","1332","2.7119047619047616","3","0","0","0","0","0","35","0","0"
"8949963a5c7ffff","10","4","2019","7","585","2.3091269841269844","3","0","0","0","0","0","0","7","0"
"8949963a5c7ffff","17","4","2019","2","678","3.3777777777777778","2","0","0","0","0","0","0","2","0"
"89499604b47ffff","20","4","2019","2","1209","3.438888888888889","3","0","0","0","0","2","0","0","0"
"89499604bc3ffff","11","4","2019","22","1058","1.4775252525252525","4","0","0","0","0","0","22","0","0"
"89499604b53ffff","11","4","2019","19","1092","3.8106725146198825","3","0","0","0","0","19","0","0","0"
"8949963a6abffff","3","4","2019","41","511","2.8618563685636857","2","0","0","0","41","0","0","0","0"
"8949963a6abffff","1","4","2019","65","511","2.6313247863247877","2","0","0","0","65","0","0","0","0"
"89499604b57ffff","18","4","2019","18","605","3.839043209876543","3","0","0","0","0","0","18","0","0"
"89499604b4fffff","26","4","2019","27","566","3.521193415637861","3","0","0","0","0","0","27","0","0"
"8949963a6abffff","6","4","2019","11","511","2.305555555555556","2","0","0","0","11","0","0","0","0"
"89499604a67ffff","11","4","2019","29","406","2.1232758620689656","3","0","0","0","0","0","29","0","0"
"8949963a4b3ffff","25","4","2019","11","748","4.418939393939393","2","0","0","0","0","0","11","0","0"
"8949963a5d3ffff","9","4","2019","16","227","1.733333333333334","3","0","0","0","0","0","0","16","0"
"89499604b47ffff","27","4","2019","188","1046","1.4996897163120604","4","0","0","0","0","5","50","133","0"
"89499604a67ffff","9","4","2019","10","406","2.514444444444444","2","0","0","0","0","0","10","0","0"
"89499604b43ffff","24","4","2019","28","844","4.919146825396827","2","0","0","0","0","0","28","0","0"
"8949963a5d3ffff","8","4","2019","15","174","1.0166666666666662","3","0","0","0","0","0","0","15","0"
"89499604b47ffff","16","4","2019","61","1996","6.855009107468121","3","0","0","0","15","41","5","0","0"
"8949963a4b3ffff","5","4","2019","41","790","3.132249322493224","3","0","0","0","0","0","41","0","0"
"89499604b4fffff","10","4","2019","64","653","3.5274739583333363","3","0","0","0","0","0","64","0","0"
"8949963a4b3ffff","16","4","2019","22","790","4.0239898989899","2","0","0","0","0","0","22","0","0"
"89499604b1bffff","3","4","2019","14","936","3.1025793650793654","3","0","0","0","0","0","14","0","0"
"89499604b4fffff","27","4","2019","31","653","3.4215949820788545","3","0","0","0","0","0","31","0","0"
"89499604b53ffff","16","4","2019","26","1965","6.785149572649574","3","0","0","0","0","17","9","0","0"
"89499604b4fffff","13","4","2019","18","653","4.2790123456790115","2","0","0","0","0","0","18","0","0"
"89499604a67ffff","10","4","2019","33","406","2.0217171717171714","3","0","0","0","0","0","33","0","0"
"89499604b57ffff","27","4","2019","24","238","1.292361111111111","4","0","0","0","0","0","24","0","0"
