"h3id","avg_congested_prop","max_length","avg_speed","min_median_level","bool_highway","bool_ramps","count_highway","count_streets","count_primary","count_secondary","count_primary_street","count_primary_ramps"
"898e62d5857ffff","21.846153846153847","1130","2.4695792205051466","1","0","0","0","9","0","0","87","0"
"898e62d5223ffff","15.044270833333334","661","1.9883193283878295","2","0","0","0","140","0","0","0","0"
"89a8100e837ffff","9.648310387984981","625","2.3179983038715193","1","0","0","0","332","0","0","71","0"
"89a8100e0b3ffff","0.9093683311993171","2271","2.3411619069180003","3","0","0","0","923","0","553","16379","0"
"8966d338847ffff","0.6666165036368197","1059","1.9641602218179743","3","0","0","0","10794","0","0","3912","0"
"898e62d5987ffff","1.7138154027042916","2671","1.8878027891565319","1","0","0","0","56","0","0","10024","0"
"89c2f119667ffff","48.22222222222222","538","2.5018518518518515","2","0","0","0","34","0","0","0","0"
"8966d321ecbffff","5.282916666666667","836","1.6027881409012936","3","0","0","0","443","0","582","0","0"
"898e62c08d3ffff","4.610370950888193","2361","2.6952212838947784","2","0","0","0","265","0","0","4237","0"
"89c2f119a73ffff","28.911764705882355","891","4.718113536582384","2","0","0","0","2","0","0","177","0"
"89c2f1ccb3bffff","0.4935056825277882","634","1.637185115791869","3","0","0","0","80","0","0","1520","0"
"89a81000c77ffff","1.816377171215881","366","1.1030876986988514","1","0","0","0","1231","0","0","0","0"
"89a8100ea3bffff","2.4523074283753643","2431","2.165865102880919","2","0","0","0","1076","0","0","4799","0"
"898e62c545bffff","3.61988011988012","1321","2.3731709107362526","2","0","0","0","1672","0","0","2225","0"
"89a8100c38bffff","2.9614478114478113","3500","1.9452929960329852","2","0","0","0","0","0","0","4113","0"
"8966d33a0a7ffff","14.13888888888889","1058","3.0100595516452002","1","0","0","0","10","0","0","179","0"
"8966d33aaafffff","1.8656274980015988","2290","3.2354743006524225","3","0","0","0","605","0","0","3277","0"
"8966d3280cfffff","38.22222222222222","344","2.523456790123457","3","0","0","0","9","0","0","0","0"
"89c2f1571a7ffff","9.04930966469428","944","3.085423901449299","2","0","0","0","221","0","0","219","0"
"898e62c044bffff","2.172249589490969","1451","2.0413704119484684","3","0","0","0","215","0","0","2547","0"
"89a8103b033ffff","25.666883963494136","19519","3.6946650592062436","1","0","0","0","397","21","300","1350","0"
"89a8100e333ffff","95.60606060606061","1117","7.45016835016835","1","0","0","0","0","0","0","26","0"
"898e62d0eabffff","11.88974358974359","615","2.0427777777777774","2","0","0","0","0","0","0","147","0"
"89a81071433ffff","3.73","887","2.390892663893661","2","0","0","0","1384","0","0","0","0"
"8966d338b67ffff","206.85714285714286","4088","7.342583144368859","1","1","0","22","16","0","0","0","0"
"898e62c74d7ffff","0.7927973199329983","750","1.301686877157232","2","0","0","0","285","0","0","7025","0"
"8966d33142fffff","36.73504273504274","1121","3.1146593067426402","2","0","0","0","36","0","0","31","0"
