,h3id
0,89c2f1571a3ffff
1,89c2f1571afffff
2,89c2f1571a7ffff
3,89c2f1571b7ffff
4,89c2f1571abffff
5,89c2f15626bffff
6,89c2f157133ffff
7,89c2f1544dbffff
8,89c2f1544d3ffff
9,89c2f15627bffff
10,89c2f1571b3ffff
11,89c2f1571bbffff
12,89c2f157107ffff
13,89c2f157137ffff
14,89c2f15626fffff
15,89c2f156263ffff
16,89c2f15624fffff
17,89c2f119a7bffff
18,89c2f119a63ffff
19,89c2f119a77ffff
20,89c2f119a73ffff
21,89c2f119a6bffff
22,89c2f119a67ffff
23,89c2f119a0fffff
24,89c2f1569b7ffff
25,89c2f119a6fffff
26,89c2f119a2bffff
27,89c2f119a3bffff
28,89c2f119a0bffff
29,89c2f119a47ffff
30,89c2f119a07ffff
31,89c2f119a03ffff
32,89c2f119a4fffff
33,89c2f1ccb77ffff
34,89c2f1ccb3bffff
35,89c2f1ccb0fffff
36,89c2f1ccb2bffff
37,89c2f1ccb23ffff
38,89c2f1ccb33ffff
39,89c2f1ccb07ffff
40,89c2f1ccb73ffff
41,89c2f1ccb63ffff
42,89c2f1ccb67ffff
43,89c2f1ccb37ffff
44,89c2f1ccbabffff
45,89c2f1ccb03ffff
46,89c2f1ccb7bffff
47,89c2f1ccb2fffff
48,89c2f1ccbafffff
49,89c2f1ccb17ffff
50,89c2f1ccb0bffff
51,89c2f119663ffff
52,89c2f119667ffff
53,89c2f119677ffff
54,89c2f11966fffff
55,89c2f11962bffff
56,89c2f119673ffff
57,89c2f11966bffff
58,89c2f11929bffff
59,89c2f119293ffff
60,89c2f11963bffff
61,89c2f11960fffff
62,89c2f11967bffff
63,89c2f1192d3ffff
64,89c2f1192d7ffff
65,89c2f11962fffff
66,89c2f119623ffff
67,89c2f1565b7ffff
68,89a8100ea0fffff
69,89a8100ea77ffff
70,89a8100ea3bffff
71,89a8100ea07ffff
72,89a8100ea73ffff
73,89a8100ea2bffff
74,89a8100ea23ffff
75,89a8100ea33ffff
76,89a8100ea03ffff
77,89a8100ea63ffff
78,89a8100eaabffff
79,89a8100ea0bffff
80,89a8100e0b3ffff
81,89a8100e0b7ffff
82,89a8100e54fffff
83,89a8100e0a3ffff
84,89a8100e57bffff
85,89a8100e54bffff
86,89a8100e0bbffff
87,89a8100e087ffff
88,89a8100e0a7ffff
89,89a8100e56bffff
90,89a8100e547ffff
91,89a8100e543ffff
92,89a8100e333ffff
93,89a8100e307ffff
94,89a8100e33bffff
95,89a8100e323ffff
96,89a8100e337ffff
97,89a8100e3afffff
98,89a8100e3abffff
99,89a8100eedbffff
100,89a8100e30fffff
101,89a8100e32bffff
102,89a8100e327ffff
103,89a8100e3a7ffff
104,89a8100e3a3ffff
105,89a8100e317ffff
106,89a81000c77ffff
107,89a81000c3bffff
108,89a81000c0fffff
109,89a81000c73ffff
110,89a81000c2bffff
