h3id,avg_congested_prop,max_length,avg_speed,min_median_level,bool_highway,bool_ramps,count_highway,count_streets,count_primary,count_secondary,count_primary_street,count_primary_ramps
89c2f1ccb1bffff,0.1957920128651836,1005,1.2746132528642318,2,0,0,0,7299,0,0,6194,0
89c2f1ccb2bffff,8.527601809954751,1337,2.2774806722393737,2,0,0,0,113,0,0,234,0
89c2f1ccb33ffff,2.174202708606378,1198,2.1759318461185826,2,0,0,0,210,0,0,2581,0
89c2f119287ffff,0.11683172794283905,681,1.553248006131202,3,0,0,0,16757,0,0,487,0
89c2f1569a7ffff,17.082070707070706,938,4.681709642723533,2,0,0,0,0,0,0,200,0
89c2f157123ffff,0.09407794125402097,514,0.7595937177501652,3,0,0,0,10819,0,0,0,0
89c2f1544dbffff,0.7119781221513217,1703,2.563456787963992,2,0,0,0,4443,0,0,193,0
89c2f1ccb2fffff,5.7280465949820805,1959,2.4934426938922973,3,0,0,0,140,0,0,976,0
89c2f1ccb0bffff,0.44202696679295744,716,2.2642060835833533,2,0,0,0,1132,0,0,1075,0
89c2f1ccb07ffff,2.0864955357142856,761,2.0133451465454635,2,0,0,0,1524,0,0,502,0
89c2f1544c3ffff,61.518518518518505,1052,1.8355967078189297,3,0,0,0,19,0,0,0,0
89c2f119a0fffff,74.93333333333334,1154,4.975888678451179,2,0,1,0,0,0,0,55,8
89c2f119213ffff,15.616174582798461,1041,2.8580756908519294,2,0,0,0,124,0,0,178,0
89c2f119293ffff,10.41834002677376,1231,2.404246567638568,3,0,0,0,21,0,0,639,0
89c2f1ccb27ffff,14.066233766233767,1713,4.382992299478003,2,0,0,0,51,0,0,660,0
89c2f11966fffff,6.683479532163743,1216,2.188339267735713,2,0,0,0,245,0,0,148,0
89c2f1571afffff,36.75555555555556,618,2.209243827160494,2,0,0,0,30,0,0,0,0
89c2f1ccb67ffff,4.710416666666666,1559,1.8821460193028965,3,0,0,0,1236,0,0,248,0
89c2f11962bffff,1.652345679012346,1041,3.6718888888888888,2,0,0,0,0,0,0,441,0
89c2f11965bffff,20.993055555555557,2065,3.9099292662839495,2,0,0,0,102,0,0,186,0
89c2f11904bffff,0.478099173553719,645,1.1258040134163532,1,0,0,0,2398,0,0,34,0
89c2f1571b3ffff,20.0625,391,1.3517576058201062,3,0,0,0,54,0,0,0,0
89c2f119a07ffff,238.75,1360,3.995138888888889,3,0,0,0,0,0,0,5,0
89c2f1571bbffff,25.13888888888889,398,1.930375514403292,3,0,0,0,35,0,0,0,0
89c2f11966bffff,33.41269841269841,692,2.8144963746815597,2,0,0,0,42,0,0,0,0
89c2f119647ffff,1.6783216783216783,1047,3.9102459111185857,2,0,0,0,53,0,0,1267,0
89c2f119a6bffff,57.34848484848485,1080,3.961341189674524,2,0,0,0,0,0,0,25,0
89c2f119acfffff,73.25,293,1.088888888888889,4,0,0,0,4,0,0,0,0
89c2f1571abffff,9.879598662207355,229,1.4749578831415215,3,0,0,0,138,0,0,0,0
89c2f11928bffff,9.074955908289242,1285,2.6360215901500297,1,0,0,0,129,0,0,120,0
89c2f156267ffff,4.975956284153006,1215,3.008192686516016,1,0,0,0,140,0,0,65,0
89c2f1ccba3ffff,3.8533333333333335,612,2.8885095926655784,3,0,0,0,0,0,0,1344,0
89c2f1196cbffff,1.2130584192439862,392,2.160124704265175,3,0,0,0,48,0,0,1345,0
89c2f11964fffff,4.554396423248882,558,1.6103927375583098,1,0,0,0,365,0,0,0,0
89c2f1ccb6bffff,6.4861111111111125,668,2.529832920154282,2,0,0,0,514,0,0,458,0
89c2f1192dbffff,0.5248057381948595,331,1.6198502819931393,3,0,0,0,495,0,0,66,0
89c2f119677ffff,1.1341575091575091,685,1.7265211640211642,2,0,0,0,45,0,0,320,0
89c2f1ccb0fffff,1.6159670781893003,1787,2.8225221338229947,2,0,0,0,160,0,0,3841,0
89c2f157133ffff,3.8977166093212383,1248,2.209065117296356,2,0,0,0,32,0,0,1256,0
89c2f156243ffff,11.870943396226414,1369,2.8564552539050454,2,0,0,0,32,0,0,322,0
89c2f1192d3ffff,14.103580562659848,906,2.472892748250561,2,0,0,0,71,0,0,178,0
89c2f1569b3ffff,78.625,629,4.099652777777777,2,0,0,0,0,0,0,8,0
89c2f119a5bffff,67.1111111111111,1241,4.855686728395061,2,0,0,0,0,0,0,35,0
89c2f119a17ffff,130.28888888888892,1433,7.3885956790123455,2,0,0,0,0,0,0,27,0
89c2f157117ffff,59.08205128205129,1027,4.058499185999186,2,0,0,0,0,0,0,71,0
89c2f157127ffff,32.324786324786324,844,3.205475427350428,2,0,0,0,0,0,0,46,0
89c2f15713bffff,0.3117683302526186,394,0.6851851851851852,3,0,0,0,2165,0,0,0,0
89c2f1ccb6fffff,4.398839137645108,1889,2.1261561055328952,2,0,0,0,218,0,0,463,0
89c2f1ccb77ffff,1.0145805076535557,2198,2.5377315569104875,2,0,0,0,1618,0,0,624,0
89c2f119663ffff,256.0,256,1.1722222222222225,3,0,0,0,1,0,0,0,0
89c2f119673ffff,1.2566560170394037,840,2.6444444444444444,3,0,0,0,0,0,0,315,0
89c2f154453ffff,19.156410256410254,2467,3.1117953720662053,2,0,0,0,23,0,0,75,0
89c2f1ccb13ffff,5.392354124748491,1380,2.8814653952303013,2,0,0,0,508,0,0,89,0
89c2f156277ffff,46.92045454545455,1056,2.826404671717172,2,0,0,0,0,0,0,29,0
89c2f119a43ffff,227.0,681,4.6375,2,0,0,0,0,0,0,4,0
89c2f1ccb03ffff,4.251653439153439,1265,1.760540329765259,2,0,0,0,456,0,0,61,0
89c2f119aabffff,44.90909090909091,592,3.2721941638608314,2,0,0,0,23,0,0,0,0
89c2f157107ffff,39.047619047619044,1021,4.150323645404663,2,0,0,0,0,0,0,92,0
89c2f11967bffff,13.257142857142858,620,1.557517298726449,3,0,0,0,175,0,0,0,0
89c2f1192c7ffff,8.94667760459393,763,2.604688895206864,2,0,0,0,384,0,0,14,0
89c2f1192d7ffff,16.575757575757574,1099,2.8875412974371306,2,0,0,0,73,0,0,181,0
89c2f1544d7ffff,13.691891891891892,1065,2.7540508663634395,2,0,0,0,156,0,0,0,0
89c2f156247ffff,19.47894736842105,757,2.43112446650166,2,0,0,0,0,0,0,80,0
89c2f1ccb23ffff,1.8626415094339623,1110,1.737509036860618,2,0,0,0,151,0,0,1056,0
89c2f156593ffff,0.6501554001554002,1465,1.0775101742358444,3,0,0,0,542,0,0,6639,0
89c2f1ccb7bffff,25.42592592592593,1110,2.399466155969424,2,0,0,0,182,0,0,1,0
89c2f119a2fffff,43.375,625,3.834280303030303,2,0,0,0,23,0,0,0,0
89c2f119a47ffff,48.13888888888889,1304,3.1614449165375094,2,0,0,0,10,0,0,53,0
89c2f1192c3ffff,0.9574736842105264,964,2.273840982473547,3,0,0,0,516,0,0,382,0
89c2f119653ffff,1.0895522388059702,374,1.1480158730158732,4,0,0,0,0,0,0,208,0
89c2f1ccb63ffff,11.056878306878307,646,1.8343914954932128,2,0,0,0,164,0,0,77,0
89c2f15449bffff,39.299107142857146,1278,2.8072356072058446,2,0,0,0,94,0,0,19,0
89c2f11962fffff,9.56246153846154,2027,4.721441710634911,2,0,0,0,0,0,0,421,0
89c2f156273ffff,36.12142857142858,815,2.8474249338624333,2,0,0,0,4,0,0,50,0
89c2f15448bffff,20.91812865497076,887,3.021125741574228,2,0,0,0,138,0,0,4,0
89c2f156597ffff,16.21846846846847,1806,2.5581904921358043,2,0,0,0,267,0,0,67,0
89c2f119a4fffff,24.76923076923077,322,2.2192930911680917,3,0,0,0,0,0,0,25,0
89c2f1ccbabffff,9.17063492063492,1023,3.4121103864024596,2,0,0,0,356,0,0,258,0
