"h3id","avg_congested_prop","max_length","avg_speed","min_median_level","bool_highway","bool_ramps","count_highway","count_streets","count_primary","count_secondary","count_primary_street","count_primary_ramps"
"8966d331553ffff","21.962962962962962","2110","3.9106573860698357","2","0","0","0","45","0","0","368","0"
"8966d338b4fffff","5.050641025641026","921","2.131940661321934","3","0","0","0","26","0","0","2504","0"
"8966d33a18bffff","4.984776902887139","3213","3.7970635813597124","3","0","0","0","34","0","5626","0","0"
"8966d33a577ffff","4.392384105960265","1130","2.9087150933609798","2","0","0","0","361","0","173","0","0"
"8966d3310bbffff","12.25","245","1.5664781746031746","2","0","0","0","27","0","0","0","0"
"8966d338803ffff","14.30690737833595","1032","2.2829736619293386","2","0","0","0","330","0","0","288","0"
"8966d3280d3ffff","22.02437106918239","1996","3.853844660362855","2","0","0","0","50","0","340","0","0"
"8966d321ec7ffff","3.9327485380116958","836","1.4448199907596588","3","0","0","0","2","0","0","212","0"
"8966d331477ffff","203.0","406","2.688888888888889","3","0","0","0","2","0","0","0","0"
"8966d338ab7ffff","2.5016759776536315","691","1.3810445409981424","3","0","0","0","2438","0","0","0","0"
"8966d33aa23ffff","2.1252744414309697","997","1.5811921466711167","3","0","0","0","124","0","0","3474","0"
"8966d33142bffff","20.176470588235293","402","2.362908496732026","2","0","0","0","21","0","0","0","0"
"8966d33aa87ffff","5.263932496075354","1830","2.4017220771700605","2","0","0","0","823","0","0","1566","0"
"8966d33a017ffff","13.884615384615385","203","1.2227742165242166","3","0","0","0","19","0","0","0","0"
"8966d33aab3ffff","2.3820554445554443","3763","3.456695283998397","2","0","0","0","75","0","53","7445","0"
"8966d32116fffff","26.88","867","3.716783577533578","2","0","0","0","0","0","46","0","0"
"8966d32a597ffff","56.529411764705884","1197","5.247847942675012","1","0","0","0","24","0","43","0","0"
"8966d33a153ffff","20.077861163227016","1320","3.4140184701856535","1","0","0","0","76","0","0","215","0"
"8966d33109bffff","381.0","762","3.058333333333333","2","0","0","0","2","0","0","0","0"
"8966d3286afffff","38.151515151515156","455","2.869107744107744","3","0","0","0","15","0","0","0","0"
"8966d32a593ffff","57.416666666666664","736","3.0269965277777775","2","0","0","0","28","0","0","0","0"
"8966d3280c3ffff","10.288979591836735","1369","4.264149495080588","2","0","0","0","9","0","619","0","0"
"8966d33abdbffff","0.8698878804057661","2301","3.0892730628165106","2","0","0","0","407","0","0","16640","0"
"8966d32a583ffff","92.93526785714286","14795","7.381616428882539","1","1","1","98","55","0","0","0","11"
"8966d331097ffff","18.932382133995038","1690","4.941929378850078","1","0","0","0","19","0","0","480","0"
"8966d321ec3ffff","33.3","549","2.3791087962962965","3","0","0","0","14","0","0","30","0"
"8966d321e1bffff","4.503191489361702","825","2.407397292779392","2","0","0","0","482","0","0","0","0"
"8966d338bd3ffff","8.312705110173464","683","2.280779228747621","2","0","0","0","44","0","0","1025","0"
"8966d32a58fffff","214.92380952380952","8912","7.483077916351726","1","1","0","62","0","0","0","0","0"
"8966d328637ffff","41.625","333","2.1618055555555555","4","0","0","0","8","0","0","0","0"
"8966d338813ffff","4.988505747126436","934","2.3420999126596915","2","0","0","0","623","0","0","1243","0"
"8966d3315c3ffff","36.5","219","1.7962962962962965","3","0","0","0","6","0","0","0","0"
"8966d338a97ffff","9.028333333333334","762","1.2590841323255162","3","0","0","0","515","0","0","0","0"
"8966d338873ffff","6.29189352692075","942","2.139774695391963","2","0","0","0","1455","0","0","0","0"
"8966d338b6bffff","23.157894736842106","481","2.7363392534835027","2","0","0","0","23","0","0","48","0"
"8966d338b0fffff","5.408281573498965","1250","3.0254472975211706","2","0","0","0","0","0","0","2534","0"
"8966d33880bffff","3.9850146198830405","1442","2.052097769322277","3","0","0","0","502","0","0","4935","0"
"8966d33a86bffff","2.141782945736434","2201","2.440554271855511","2","0","0","0","871","0","0","5270","0"
"8966d33aa8fffff","3.3143356643356645","564","1.8639875848825183","2","0","0","0","758","0","0","0","0"
"8966d33a563ffff","13.637820512820513","877","3.1825242991530747","2","0","0","0","23","0","0","726","0"
"8966d33a84fffff","1.4887546078111147","2974","2.2721173079554724","2","0","0","0","82","0","0","11345","0"
"8966d3213a7ffff","20.6010101010101","620","3.046371214519363","2","0","0","0","4","0","0","124","0"
"8966d33a0bbffff","11.201626016260162","2533","5.427288635072866","3","0","0","0","42","2056","0","0","0"
"8966d32a4b7ffff","11.527272727272727","657","1.991368231375026","3","0","0","0","316","0","0","33","0"
"8966d338b7bffff","7.863425925925926","621","2.066268462704962","3","0","0","0","79","0","0","473","0"
"8966d338abbffff","1.696738022426096","958","1.5080554832741762","3","0","0","0","5017","0","0","123","0"
"8966d328053ffff","64.35555555555555","688","3.784658289241622","2","0","0","0","33","0","0","0","0"
"8966d33a1c7ffff","14.147126436781608","2068","3.066294097006465","2","0","0","0","157","0","161","1399","0"
"8966d33a0a3ffff","22.454545454545453","289","1.6856060606060606","2","0","0","0","14","0","0","0","0"
"8966d33aaa7ffff","1.8199272065514103","2444","2.821606309965559","2","0","0","0","2920","0","0","9265","0"
"8966d33abc3ffff","2.0413846153846156","1602","3.4463772868083007","3","0","0","0","0","0","0","9652","0"
"8966d33abcfffff","2.2629776021080366","1628","1.9534869536126125","3","0","0","0","1883","0","0","3712","0"
"8966d3213afffff","216.0","432","2.0805555555555557","4","0","0","0","2","0","0","0","0"
"8966d33a863ffff","2.1177446102819237","2389","1.5794567663598866","2","0","0","0","5343","0","0","815","0"
"8966d3388cfffff","4.721462544589775","1400","2.020130064469246","2","0","0","0","1029","0","0","89","0"
"8966d33a1d3ffff","4.174603174603175","1049","1.9727094733691848","2","0","0","0","2310","0","0","0","0"
"8966d331467ffff","38.425","510","2.796180555555556","3","0","0","0","29","0","0","0","0"
"8966d33886bffff","1.8220708446866487","693","3.6768130985409075","2","0","0","0","137","0","0","5956","0"
"8966d33a87bffff","5.674433053743399","1155","2.3747589863278877","1","0","0","0","1385","0","0","0","0"
"8966d338b07ffff","11.78872180451128","4688","4.473412273697957","1","1","0","30","2","0","0","1617","0"
"8966d32a5dbffff","165.5","331","2.3555555555555556","3","0","0","0","2","0","0","0","0"
"8966d32807bffff","23.444444444444443","211","1.277469135802469","4","0","0","0","9","0","0","0","0"
"8966d33aaabffff","3.606609195402299","2443","2.3774454462827994","3","0","0","0","890","0","0","2326","0"
"8966d321e9bffff","16.25","247","1.1671825396825397","2","0","0","0","24","0","0","0","0"
"8966d3213a3ffff","52.5","687","3.5966856060606056","2","0","0","0","0","0","0","20","0"
"8966d338863ffff","3.3211050724637685","1083","1.247371773695847","3","0","0","0","818","0","0","0","0"
"8966d33aa3bffff","3.4162112932604733","1679","2.7286867174100693","3","0","0","0","40","0","0","5757","0"
"8966d33aa03ffff","12.355618776671408","730","2.311858388946051","2","0","0","0","186","0","0","0","0"
"8966d328017ffff","16.61843137254902","2631","3.5557338708810073","2","0","0","0","7","0","984","191","0"
"8966d33a86fffff","3.5827609890109886","1830","2.233519468268777","2","0","0","0","1327","0","0","1231","0"
"8966d321ed7ffff","15.0625","383","1.4418758903133901","3","0","0","0","71","0","0","0","0"
"8966d33a54bffff","2.556318681318681","258","1.1364718783880596","3","0","0","0","771","0","0","0","0"
"8966d33884fffff","0.15974096478982475","763","0.7241242825293033","2","0","0","0","7985","0","0","81411","0"
"8966d32808fffff","19.23390804597701","2377","3.54855387837413","2","0","0","0","67","0","750","0","0"
"8966d331437ffff","16.178571428571427","794","2.9502093244536303","2","0","0","0","64","0","0","218","0"
"8966d33a1d7ffff","15.408156028368793","1671","3.653423928230921","2","0","0","0","359","0","0","1095","0"
"8966d33a1c3ffff","8.202326547569589","1271","2.619884979221776","2","0","0","0","736","0","0","0","0"
"8966d33146fffff","16.5375","359","1.747133487654321","2","0","0","0","74","0","0","0","0"
"8966d3388cbffff","12.79876160990712","1218","1.4022528262214795","3","0","0","0","275","0","0","0","0"
"8966d338853ffff","3.5482938114517064","1301","1.2952186138565616","2","0","0","0","2521","0","0","0","0"
"8966d331473ffff","32.833333333333336","365","1.6699074074074076","3","0","0","0","18","0","0","0","0"
"8966d321ecfffff","97.5","630","2.734722222222222","2","0","0","0","8","0","0","0","0"
"8966d3314afffff","11.412537917087969","803","2.314947513190365","2","0","0","0","1","0","0","386","0"
"8966d33154bffff","30.327485380116958","978","3.267029039836058","1","0","0","0","73","0","0","0","0"
"8966d32809bffff","22.965986394557824","891","2.6554887881078355","3","0","0","0","17","0","0","52","0"
"8966d3280dbffff","24.944444444444443","251","1.3886188271604938","4","0","0","0","13","0","0","0","0"
"8966d338817ffff","8.05072463768116","641","1.8677116140569299","3","0","0","0","98","0","0","662","0"
"8966d33a1cbffff","8.929629629629629","717","2.1027674467870177","2","0","0","0","459","0","0","281","0"
"8966d33aa0fffff","53.51442307692308","1160","2.8413342459045587","1","0","0","0","70","0","0","0","0"
"8966d33aa2bffff","3.352651515151515","899","3.736057605542103","2","0","0","0","128","0","0","4645","0"
"8966d321e5bffff","6.7784810126582276","996","2.5531946871564846","2","0","0","0","17","0","0","377","0"
"8966d3315cbffff","23.27857142857143","682","2.4844123204837487","3","0","0","0","87","0","0","0","0"
"8966d33a56bffff","10.402321083172147","822","2.0200074152401393","2","0","0","0","343","0","0","0","0"
