h3id,avg_congested_prop,max_length,avg_speed,min_median_level,bool_highway,bool_ramps,count_highway,count_streets,count_primary,count_secondary,count_primary_street,count_primary_ramps
8966d33ab53ffff,0.9533746556473828,2399,4.148900020408778,2,0,0,0,16,0,0,7405,0
8966d33a19bffff,7.739147286821706,2797,3.2684925088639236,3,0,0,0,774,0,2276,0,0
8966d338b47ffff,24.43589743589744,482,1.7037169594808486,2,0,0,0,83,0,0,0,0
8966d328007ffff,13.288275862068966,1922,3.034227777159699,2,0,0,0,0,0,523,0,0
8966d33a567ffff,4.0390295358649775,2470,2.796803057823261,3,0,0,0,1414,0,2019,0,0
8966d33aa33ffff,2.260354459641688,1438,2.266005004729059,3,0,0,0,156,0,0,6134,0
8966d33a033ffff,22.963809523809523,2120,5.0740213908372125,2,0,1,0,8,730,0,0,3
8966d33a1dbffff,8.420448617631719,1032,2.4279682400519538,2,0,0,0,195,0,0,299,0
8966d33aa77ffff,6.211878009630818,868,2.1351212887779094,3,0,0,0,102,0,0,1054,0
8966d331557ffff,34.32142857142857,1023,1.8724867724867724,3,0,0,0,14,0,0,25,0
8966d331423ffff,68.65,1039,3.2251759259259267,2,0,0,0,4,0,0,31,0
8966d328003ffff,44.851851851851855,520,2.587860082304527,3,0,0,0,13,0,0,0,0
8966d33aa37ffff,2.5311475409836066,1633,2.4855777267638848,3,0,0,0,930,0,0,2192,0
8966d321edbffff,12.841269841269842,368,1.7184038800705466,3,0,0,0,31,0,3,0,0
8966d32133bffff,40.5,162,0.6986111111111111,4,0,0,0,4,0,0,0,0
8966d338b23ffff,50.61363636363637,913,3.9159441638608303,2,0,0,0,31,0,0,0,0
8966d33abd3ffff,4.957776213933848,1861,2.650283884269267,2,0,0,0,1061,0,0,1275,0
8966d338a87ffff,3.390719696969697,974,1.5473300042335192,2,0,0,0,3112,0,0,0,0
8966d328047ffff,56.75,618,3.0799437830687832,2,0,0,0,29,0,0,0,0
8966d33155bffff,21.22153846153846,1809,4.2060469110591665,2,0,0,0,11,0,0,342,0
8966d331093ffff,37.912087912087905,518,3.3627996782758687,2,0,0,0,0,0,0,47,0
8966d331547ffff,41.35,521,2.584537037037037,3,0,0,0,10,0,0,3,0
8966d321e47ffff,5.687325256290773,1707,3.7786541133949445,2,0,0,0,4,0,0,1590,0
8966d338867ffff,108.75,220,1.4486111111111108,3,0,0,0,4,0,0,0,0
8966d338e27ffff,43.11111111111111,747,2.2332887517146776,1,0,0,0,38,0,0,0,0
8966d338b37ffff,9.01923076923077,1149,3.0421421666750432,2,0,0,0,30,0,715,0,0
8966d338843ffff,2.357316017316017,1088,1.772096474268001,3,0,0,0,7294,0,0,28,0
8966d3314abffff,8.025,669,1.7442445830002025,2,0,0,0,27,0,0,209,0
8966d338b0bffff,17.212698412698412,2079,1.9976962381884296,3,0,0,0,34,0,0,324,0
8966d338b63ffff,7.878034682080925,1476,3.0336759354824667,2,0,0,0,22,0,0,2466,0
8966d3310d7ffff,11.713541666666664,618,1.5556244960672043,3,0,0,0,162,0,0,0,0
8966d33a023ffff,9.921186440677968,1614,2.473889011128933,2,0,0,0,9,361,0,1049,0
8966d33108bffff,63.92,582,2.0027222222222223,1,0,0,0,17,0,0,0,0
8966d32804fffff,55.4,715,3.1371180555555553,3,0,0,0,18,0,0,0,0
8966d33ab5bffff,2.459519168291098,2183,2.02454857960491,3,0,0,0,16,0,0,8845,0
8966d33a027ffff,16.47147147147147,958,2.4432521613335876,3,0,0,0,217,0,0,0,0
8966d321ed3ffff,60.0,1309,3.64011733496582,2,0,0,0,11,0,55,0,0
8966d33a54fffff,8.06984126984127,3229,1.8456217587533237,2,0,0,0,428,155,0,581,0
8966d321e03ffff,50.77083333333334,1660,4.0031668447293445,2,0,0,0,0,0,0,109,0
8966d33aa27ffff,2.6363095238095235,1771,2.318038617752529,3,0,0,0,2499,0,0,1967,0
8966d33a0abffff,9.768346595932805,2225,6.026632470347033,2,0,0,0,4,928,0,30,0
8966d321e13ffff,5.7828125,597,2.4601159593086668,2,0,0,0,176,0,0,13,0
8966d33886fffff,2.5459582790091257,726,2.3044823371647793,2,0,0,0,1517,0,0,142,0
8966d32800bffff,12.672222222222222,542,2.621139870931538,2,0,0,0,14,0,54,0,0
8966d32800fffff,22.843589743589746,986,2.2530633577372705,1,0,0,0,50,0,36,52,0
8966d338aa7ffff,17.914814814814815,431,1.6324197114311494,3,0,0,0,139,0,0,2,0
8966d3315dbffff,40.925925925925924,423,2.1629629629629634,3,0,0,0,13,0,0,0,0
8966d338aa3ffff,3.0900713436385256,1681,2.445708924001661,2,0,0,0,2000,0,0,2542,0
8966d33a0b7ffff,27.19444444444445,1265,3.659835333814092,1,0,0,0,169,0,0,0,0
8966d338e2fffff,15.643526170798895,3104,4.0072356115981504,2,0,1,0,39,0,1299,0,138
8966d33881bffff,1.6753086419753087,1259,2.087026709355736,3,0,0,0,4187,0,0,3455,0
8966d33a03bffff,39.90909090909091,822,2.4774122174122177,3,0,0,0,23,0,0,13,0
8966d32164bffff,64.87619047619047,1571,4.6939739229024955,1,0,0,0,9,0,55,0,0
8966d33aab7ffff,1.3334168755221385,3157,2.6189865661149248,3,0,0,0,365,0,0,12702,0
8966d338b77ffff,23.07217391304348,1087,2.887106571284184,2,0,0,0,0,0,0,490,0
