"h3id","avg_congested_prop","max_length","avg_speed","min_median_level","bool_highway","bool_ramps","count_highway","count_streets","count_primary","count_secondary","count_primary_street","count_primary_ramps"
"8966d33a087ffff","18.533333333333335","360","1.7006715969215969","3","0","0","0","36","0","0","0","0"
"8966d331427ffff","17.07936507936508","365","2.0652605419272088","1","0","0","0","48","0","0","0","0"
"8966d328073ffff","15.980392156862747","461","1.6105059307673688","3","0","0","0","35","0","0","0","0"
"8966d331407ffff","16.514705882352942","507","1.831639692914203","3","0","0","0","35","0","0","0","0"
"8966d338b03ffff","41.22727272727273","698","1.3114898989898989","2","0","0","0","13","0","0","0","0"
"8966d328013ffff","24.727272727272727","761","2.315961864793603","3","0","0","0","67","0","0","17","0"
"8966d33a1cfffff","4.780169371912491","1340","1.8145123742199694","2","0","0","0","684","0","0","0","0"
"8966d338b2bffff","556.625","13910","7.993179563492063","2","1","0","21","0","0","0","0","0"
"8966d328083ffff","30.31111111111111","3953","3.243089033729015","2","0","0","0","31","0","473","0","0"
"8966d32165bffff","124.94642857142857","1343","4.224189814814815","2","0","0","0","0","0","26","0","0"
"8966d32a513ffff","46.88461538461539","676","3.726794871794872","2","0","0","0","23","0","0","0","0"
"8966d321323ffff","29.970666666666666","954","4.50246550986051","2","0","0","0","0","0","3","314","0"
"8966d33a573ffff","6.11677559912854","993","4.352508513767669","2","0","0","0","57","0","0","2085","0"
"8966d331543ffff","35.76136363636363","560","2.413895126863877","3","0","0","0","0","0","0","50","0"
"8966d33aabbffff","5.556437389770723","1484","2.5578914288728423","2","0","0","0","697","0","0","2271","0"
"8966d338b33ffff","20.309683177153058","15671","3.3811331257751935","1","1","0","54","114","0","628","0","0"
"8966d331083ffff","19.60724852071006","1451","3.558243812450649","2","0","0","0","20","0","0","534","0"
"8966d33aaa3ffff","1.2855392156862744","2013","2.840360778221259","3","0","0","0","1761","0","2281","13158","0"
"8966d32801bffff","38.60858585858586","2029","3.6690210192756485","2","0","0","0","0","0","155","0","0"
"8966d338b2fffff","16.47509578544061","672","3.043892845394282","2","0","0","0","104","0","0","0","0"
"8966d338b3bffff","248.3827751196172","14080","7.08141372523749","1","1","0","76","9","0","0","0","0"
"8966d321e53ffff","4.499245852187029","1212","3.544416504052155","3","0","0","0","20","0","0","3884","0"
"8966d32a5d7ffff","25.324074074074076","493","2.1885200773163738","2","0","0","0","69","0","0","0","0"
"8966d33a0b3ffff","9.946783625730994","3026","3.7357975509940484","3","0","0","0","224","1651","0","0","0"
"8966d3280d7ffff","51.22377622377622","1331","3.38346694130785","2","0","0","0","34","0","49","0","0"
"8966d32116bffff","32.63636363636363","436","2.4454391133557802","3","0","0","0","35","0","0","0","0"
"8966d33a57bffff","14.956521739130435","1388","1.6521558210643352","2","0","0","0","232","0","0","0","0"
"8966d338ab3ffff","0.2396466518408698","1246","0.4133556593315161","3","0","0","0","6217","0","0","53034","0"
"8966d33108fffff","16.697132616487455","1522","3.725223950147196","2","0","0","0","152","0","0","366","0"
"8966d33abc7ffff","4.557575757575758","2417","2.6819001796408144","3","0","0","0","85","0","0","7055","0"
"8966d338b6fffff","44.22727272727273","717","2.7684343434343437","1","0","0","0","28","0","0","0","0"
"8966d32a59bffff","73.01428571428572","4169","8.232932988107525","1","1","0","83","49","0","0","0","0"
"8966d338857ffff","3.0880692876605687","1276","2.0768412791791433","3","0","0","0","6349","0","0","70","0"
"8966d3213b7ffff","31.88888888888889","393","2.2299961419753087","3","0","0","0","17","0","0","0","0"
"8966d32846bffff","6.869678714859437","2119","3.3612460383417155","2","0","0","0","50","0","1085","0","0"
"8966d33a84bffff","2.7536635706914345","4239","3.4288794442538255","2","0","0","0","308","0","6475","3139","0"
"8966d33a007ffff","34.986666666666665","1376","2.2013687169312166","2","0","0","0","22","0","0","40","0"
"8966d321327ffff","4.427064220183486","1669","3.109134296111374","2","0","0","0","39","0","422","1780","0"
"8966d331433ffff","55.785714285714285","475","2.3871031746031752","3","0","0","0","9","0","0","0","0"
"8966d32846fffff","55.7","557","3.6488888888888886","3","0","0","0","10","0","0","0","0"
"8966d33a0afffff","63.22727272727273","1016","3.6152588383838378","1","0","0","0","0","0","0","67","0"
"8966d33884bffff","2.5627380952380956","807","1.5181946924614778","3","0","0","0","5300","0","0","0","0"
"8966d321e57ffff","3.5680981595092027","1362","3.9931232017920277","2","0","0","0","0","0","0","4463","0"
"8966d321e4fffff","41.86666666666667","1004","3.653194444444444","2","0","0","0","2","0","0","42","0"
"8966d32808bffff","28.13157894736842","1010","2.635747543047434","2","0","0","0","6","0","0","159","0"
"8966d328043ffff","109.41666666666667","539","2.8208333333333333","3","0","0","0","11","0","0","0","0"
"8966d32862fffff","111.5","223","1.711111111111111","4","0","0","0","0","0","0","2","0"
