h3id,avg_congested_prop,max_length,avg_speed,min_median_level,bool_highway,bool_ramps,count_highway,count_streets,count_primary,count_secondary,count_primary_street,count_primary_ramps
89a8103b027ffff,3.4711538461538463,673,1.8947091112460144,1,0,0,0,895,0,0,0,0
89a8100c14bffff,0.3257261410788382,314,1.6169081160513914,2,0,0,0,9884,0,0,4798,0
89a8100ee53ffff,3.8309752747252745,2651,2.143214419326429,2,0,0,0,390,0,0,8069,0
89a81000c43ffff,5.2625,552,1.4479280025729375,1,0,0,0,222,0,0,0,0
89a8100ea17ffff,0.7321754385964913,1299,1.6479470613289673,1,0,0,0,6436,0,0,7698,0
89a8100c3c3ffff,0.7915805504187969,565,1.7054066795865837,2,0,0,0,5554,0,0,970,0
89a81071407ffff,6.24512987012987,422,1.6734434767172863,2,0,0,0,164,0,0,38,0
89a8100ea27ffff,4.199011299435028,1524,1.7280711503285997,1,0,0,0,2181,0,0,1074,0
89a8103b0a3ffff,9.003333333333334,398,1.4264656084656084,1,0,0,0,92,0,0,0,0
89a8100e8a7ffff,34.72135706340378,3596,5.223553621293652,1,0,0,0,204,230,0,280,0
89a810714abffff,2.8857142857142857,501,1.8172133950125744,2,0,0,0,408,0,0,12,0
89a81000893ffff,5.021939528023599,1769,2.3307372547137444,1,0,0,0,177,0,0,1306,0
89a8100eaafffff,2.0893011750154606,1681,2.031983512139986,1,0,0,0,502,0,0,9032,0
89a8100e54fffff,3.442455987196275,2356,1.5228526936092108,1,0,0,0,2386,0,151,0,0
89a8103b397ffff,13.0,299,2.0069350858481294,4,0,0,0,0,0,0,72,0
89a8100ea2fffff,10.011437908496733,1357,2.59724938297725,2,0,0,0,544,0,0,937,0
89a8100e3afffff,235.46666666666667,1449,6.989259259259258,1,0,0,0,0,0,0,16,0
89a8100e50bffff,2.6949883449883454,1062,1.9942171184902096,2,0,0,0,2613,0,0,419,0
89a81071403ffff,8.202020202020202,989,2.69759845516021,2,0,0,0,469,0,0,90,0
89a81071467ffff,5.014233954451346,1408,3.8264951346051683,1,0,0,0,92,0,0,513,0
89a8100c313ffff,0.5989711934156379,3413,2.1857345538023347,3,0,0,0,11337,0,0,15542,0
89a810714bbffff,4.5372589890568005,861,2.4016092856902014,1,0,0,0,284,0,0,15,0
89a8100e833ffff,3.5909306742640084,748,1.8878361131712045,2,0,0,0,1832,0,0,0,0
89a8103b1c3ffff,3.2191558441558437,298,1.5806730003094889,3,0,0,0,225,0,0,0,0
89a8100e957ffff,1.1628352490421456,1114,1.5443409790874905,3,0,0,0,1390,0,0,3941,0
89a8100c02bffff,1.3688701359587436,582,2.829197364236655,2,0,0,0,9,0,0,4558,0
89a8100c3dbffff,0.6802507836990596,397,1.8148620309601653,1,0,0,0,4308,0,0,3428,0
89a81000c2bffff,2.438199513381995,540,1.4129350734469923,2,0,0,0,955,0,0,811,0
89a81039c93ffff,157.5,791,2.849382716049383,3,0,0,0,0,0,0,9,0
89a8100ea57ffff,1.8746444675685048,2847,2.5089939265902945,2,0,0,0,11478,0,0,4051,0
89a8100e087ffff,5.524647887323943,1880,2.8937802028319908,2,0,0,0,1601,0,1225,744,0
89a8103b0b7ffff,22.44234693877551,20567,5.300675366959732,3,0,0,0,0,399,3603,0,0
89a8100eabbffff,0.8561791383219954,824,1.8039921961987773,1,0,0,0,1150,0,0,4611,0
89a8100c06bffff,1.4865153538050735,1280,3.3933634992770365,3,0,0,0,3352,0,0,7860,0
89a81038343ffff,20.63636363636364,227,1.7767676767676763,4,0,0,0,11,0,0,0,0
89a8100c317ffff,0.3090296495956873,1083,2.1349437985131186,2,0,0,0,56234,0,0,8101,0
