h3id,avg_congested_prop,max_length,avg_speed,min_median_level,bool_highway,bool_ramps,count_highway,count_streets,count_primary,count_secondary,count_primary_street,count_primary_ramps
89499604a6bffff,90.9,1001,2.8315432098765427,2,0,0,0,0,0,18,0,0
89499604a6fffff,6.355296080066722,770,2.5843134530806346,2,0,0,0,9,0,480,9,0
8949963a4abffff,929.0,929,5.066666666666666,2,0,0,0,0,0,0,1,0
8949963a487ffff,28.21212121212121,392,1.523643845866068,3,0,0,0,20,0,0,9,0
894996059afffff,12.566666666666665,377,2.6027447089947096,2,0,0,0,0,0,91,0,0
89499604a67ffff,3.0105820105820102,406,1.9977802041336403,2,0,0,0,0,0,719,0,0
8949963a49bffff,4.78921568627451,271,1.6022934173669467,3,0,0,0,0,0,143,0,0
894996059a7ffff,5.137820512820513,595,2.5385060541310542,2,0,0,0,0,0,26,94,0
8949963a483ffff,23.051282051282055,2089,2.6044155236191533,3,0,0,0,0,0,89,0,0
8949963a497ffff,33.19230769230769,444,3.031861348528015,2,0,0,0,0,0,0,22,0
8949963a4bbffff,16.202898550724637,452,2.7395822150653064,2,0,0,0,18,0,30,0,0
8949963a493ffff,4.865384615384615,259,1.5455550566359744,3,0,0,0,147,0,0,27,0
